State,lat,lng
SK,52.1303794,-106.6605123
BC,54.061971,-124.5549847
MT,46.5927122,-112.0361089
IN,41.5758708,-87.1761454
MA,42.5250906,-71.7597939
MI,42.3486635,-83.0567374
CA,33.7494951,-117.8732212
OR,45.0049305,-122.7832946
OH,41.0413873,-83.6503981
MO,39.0911161,-94.4155067
MO,39.0911161,-94.4155067
MO,33.3401005,-104.5233016
CO,39.766098,-105.0772062
FL,28.3361142,-82.2745307
NC,34.2257282,-77.9447106
CA,36.3274502,-119.6456843
ID,43.622111,-116.2381786
IN,43.4591601,-88.7342713
AB,53.5343609,-113.5065084
OK,36.1556805,-95.9929112
MD,38.9959081,-77.0288917
WA,46.0649999,-118.3302783
WA,47.6694141,-122.1238766
GA,34.9020296,-84.0774117
ID,43.61656,-116.2008349
TN,36.1729031,-85.9299965
PA,33.1584497,-86.2385845
PA,40.2667588,-76.1154996
NV,39.52927,-119.8136743
CA,39.3562796,-121.2791272
WA,48.0074736,-121.7304881
ND,46.8772292,-96.7898209
CA,34.2011156,-118.5364741
CA,34.2875607,-118.5528384
WI,43.9680365,-88.9434476
IN,39.8939648,-85.9219416
ND,46.075516,-97.1517549
NY,40.5834557,-74.1496047
OR,45.5202471,-122.6741948
ND,46.075516,-97.1517549
IA,41.0586002,-94.3613474
CA,34.364744,-119.3105822
TX,30.1902067,-98.086678
CO,38.8339578,-104.8253484
IL,41.8891319,-87.9774853
NV,36.1662859,-115.1492249
MO,39.7942118,-91.5232105
GA,34.096496,-83.7612838
PA,40.4416941,-79.990086
NC,34.3157241,-78.224721
IA,43.3684613,-95.6299943
WI,43.2219088,-87.9822968
DE,38.5379676,-75.0588645
CA,34.871511,-118.2157747
IL,41.7108662,-87.758108
MA,42.3803676,-72.5231429
NC,35.4798757,-79.1802993
WI,42.8777882,-88.5862121
AZ,33.4359175,-112.340502
MI,42.0144871,-86.5194653
LA,37.471623,-121.1296948
FL,28.6122187,-80.8075537
AZ,33.5091215,-111.8992364
NY,42.4396039,-76.4968018
NY,43.157285,-77.6152139
WV,38.4095298,-82.2945922
TN,36.2942723,-82.4734785
NC,35.5090288,-80.3111683
RI,41.3831566,-71.6417289
AZ,35.189443,-114.0530064
NH,42.8808677,-71.3264491
AK,64.837845,-147.7166749
MD,38.9848265,-77.0946458
MD,39.6048252,-76.8499774
NJ,40.7987113,-74.2390352
PA,39.9523993,-75.1635898
MD,39.606779,-75.8332719
WI,42.6780726,-88.2762025
SD,43.5499749,-96.7003269
AZ,31.9609032,-112.5840347
NH,42.9956397,-71.454789
CA,34.0543942,-118.2439408
NY,42.6411908,-78.541731
SC,32.7024009,-80.0481487
IL,41.9239178,-89.0687073
NJ,39.92492,-74.1453549
CA,38.4404675,-122.7144313
UT,40.9180005,-111.87216
ND,48.94584,-98.9959609
OH,39.9622601,-83.0007064
TX,29.4238472,-95.2441008
TX,29.675779,-95.40215851
ME,44.310517,-69.7792601
KY,38.0272055,-84.5142633
PA,40.0247953,-80.1000561
MA,42.3604823,-71.0595677
QC,46.8257374,-71.2349113
MA,42.1103686,-73.3551147
MA,42.2792625,-71.4161719
GA,34.1014112,-84.5192191
ON,43.5892854,-79.6441645
MI,42.7337712,-84.5553804
CA,38.7497125,-120.5776644
MT,45.7874957,-108.4960699
CA,34.1028268,-118.3299898
NJ,39.841635,-74.93768531
AZ,33.4144139,-111.9094473
WI,44.7321897,-92.4874123
UT,40.6460635,-111.497974
UT,40.6096698,-111.939103
ID,43.519629,-114.3153249
MT,46.5927122,-112.0361089
NC,35.2270869,-80.8431267
NC,35.4350977,-83.3601541
NC,36.3847464,-75.8286982
NC,35.8223779,-78.1124912
MA,42.3370414,-71.2092213
NE,40.1223248,-96.2629021
AL,33.561968,-86.7988139
AZ,34.162526,-112.8507373
CO,38.9330077,-104.6080825
OH,39.7211793,-82.2987614
WV,38.8445251,-82.1370888
OH,40.7989522,-81.3784444
NY,40.6837121,-73.5101257
TX,27.7903032,-97.6688842
CA,40.8020712,-124.1636728
AR,36.346325,-94.33285765
PA,40.6014555,-79.7597708
NJ,40.8859326,-74.0434735
NY,40.9598212,-72.9962147
ON,43.5892854,-79.6441645
OH,39.600618,-82.9460132
VA,39.0437192,-77.4874898
PA,40.2663107,-76.8861121
FL,26.1254381,-80.1381514
AL,34.3516416,-87.7053802
CA,33.778562,-117.0357665
MA,41.6376043,-70.9036486
CA,37.0065078,-121.5631722
PA,40.1045549,-74.9512789
NY,42.6511674,-73.7549679
TX,29.675779,-95.40215851
NY,40.7667655,-72.8520475
VA,38.029306,-78.476678
PA,40.3909328,-75.4921248
NE,41.1408322,-96.2397417
GA,30.8365815,-83.9787807
NJ,39.5960075,-74.32971056
BC,50.5619196,-126.5825836
FL,26.47036109,-81.76928287
CO,38.8368777,-107.8568293
AZ,33.4144139,-111.9094473
SC,34.0007493,-81.0343312
NC,36.0726355,-79.7919753
FL,26.63799875,-80.25590771
CA,34.1976308,-119.1803817
GA,33.94385375,-83.39728979
FL,26.1254381,-80.1381514
FL,28.3881698,-80.60326402
NC,35.7331895,-81.3412005
TN,35.9603948,-83.921026
ON,42.7778056,-81.1822955
TX,29.5688411,-97.9647268
FL,27.4953156,-82.7109328
WA,47.9673056,-122.2013997
AL,31.2232313,-85.3904888
GA,34.0709576,-84.2747328
MI,42.7337712,-84.5553804
CA,33.778562,-117.0357665
OH,41.5192189,-81.4578959
GA,34.2367621,-84.490762
LA,30.2265949,-93.2173758
CA,32.7174209,-117.1627713
WI,42.7260523,-87.7825241
AZ,36.7170573,-109.6245141
MS,47.19375545,-122.2358781
TX,29.4238472,-95.2441008
VA,36.8529841,-75.9774182
OH,40.8042159,-82.1956858
IL,39.7989763,-89.6443687
NC,35.3787442,-81.3789738
ON,43.133061,-80.7498549
AZ,33.059919,-111.4303821
KY,36.9903199,-86.4436017
TX,30.7573109,-98.2289006
KS,38.8672339,-99.075927
NE,41.0391711,-96.3683916
OK,35.2225717,-97.4394815
CA,34.0908165,-118.5970195
NJ,40.6687141,-74.114309
KS,38.8109254,-94.9272957
OK,35.6571367,-97.4649037
AZ,32.2217422,-110.9264758
CO,43.6963371,-98.572246
MS,31.3465627,-89.2600604
OK,36.1156306,-97.0585716
NC,35.7079146,-79.8136445
UT,37.201902,-113.1878541
TN,35.9603948,-83.921026
CA,33.780018,-118.262571
AZ,33.4006195,-111.5374039
CA,37.3361905,-121.8905832
CA,38.5110803,-122.8473387
NY,42.9000773,-73.5853938
CO,39.7348381,-104.965327
TX,32.753177,-97.3327458
CA,38.1040864,-122.2566366
NC,35.472663,-77.4155199
FL,28.5558273,-82.4503731
MT,48.1894036,-114.1373428
CT,39.012363,-77.0961069
AK,64.837845,-147.7166749
PA,40.6178915,-75.378652
AZ,33.3067132,-111.8408488
AZ,33.3959511,-110.7871769
NC,35.7882973,-78.7811924
AZ,33.1775233,-111.5478924
AZ,33.3959511,-110.7871769
AZ,33.059919,-111.4303821
AZ,33.3067132,-111.8408488
AZ,33.1775233,-111.5478924
AZ,33.294207,-111.7379465
AZ,33.436188,-111.5860661
AZ,33.222657,-111.6206973
TN,35.6078392,-83.5022466
GA,33.7490987,-84.3901848
WA,47.5395736,-122.156333
NC,36.0998131,-80.2440517
PA,40.1439985,-75.1157285
FL,26.318342,-80.0996305
CA,34.1477829,-119.1951073
LA,29.9427892,-89.9629371
MS,30.3132823,-89.3343222
VA,38.2545799,-76.9635879
IL,38.2009055,-84.8732835
IL,41.8755546,-87.6244211
WI,44.2127373,-91.123762
FL,25.800431,-80.2632189
CA,33.7666873,-116.3613659
KY,37.9883991,-85.7157923
FL,30.0557025,-81.90363734
NC,35.446138,-80.73685565
NC,35.446138,-80.73685565
MI,42.7337712,-84.5553804
MS,30.3674198,-89.0928154
FL,26.02322025,-80.34123897
MS,39.98402385,-105.133388
MD,39.2559916,-76.6343409
HI,21.304547,-157.8556763
FL,28.7007225,-81.34927787
MD,39.220104,-77.4241529
PA,39.9523993,-75.1635898
MO,40.0789018,-93.6166073
NC,34.4901665,-77.4316299
WI,43.074761,-89.3837612
OH,39.8842304,-82.7535048
MN,44.8877401,-94.3697056
TN,36.1622296,-86.774353
GA,33.9926098,-83.7201709
TX,33.353949,-97.69372387
CA,34.1066756,-117.8067256
FL,30.3321838,-81.6556509
WI,43.4577692,-88.8373289
KS,37.5455735,-97.268933
PA,33.1584497,-86.2385845
NC,35.9556924,-80.0053175
TN,36.1622296,-86.774353
TX,33.2618362,-97.2374667
CA,38.671727,-120.9402762
MI,42.9632405,-85.6678638
WA,48.5403763,-120.68013
OK,35.3272928,-96.9253003
FL,28.0470698,-81.9539368
WI,44.5229223,-89.5741109
AZ,33.4485866,-112.0773455
AL,33.508315,-86.8710359
MI,42.5803122,-83.0302032
MD,38.845113,-76.8749719
MO,37.2153307,-93.298252
PA,40.153364,-76.604252
CA,38.8945939,-121.0739896
CO,39.7348381,-104.965327
MD,39.3131621,-77.6281857
WA,47.4799078,-122.2034495
GA,34.0289259,-84.1985789
CA,34.01979,-117.9503676
TX,32.9537349,-96.8902815
MI,42.2411499,-83.6129938
NJ,40.883988,-74.5621024
WA,46.309036,-124.0436639
CA,34.3798765,-118.5291916
KS,37.1692278,-94.8441238
CO,40.0847055,-104.8130274
MI,42.7844752,-83.2396611
WI,43.074761,-89.3837612
UT,40.6460635,-111.497974
AR,36.0300744,-92.8046117
MN,45.0564041,-92.8134981
NC,34.735724,-77.9952627
CO,38.8339578,-104.8253484
CA,35.4427512,-120.8921253
KY,37.4953332,-86.2213613
TX,31.124062,-97.9030784
CA,33.9550828,-118.4367495
FL,28.5479786,-81.41278409
CO,39.2839036,-106.0626173
CA,34.0480643,-118.5264705
MI,42.4567013,-83.9463358
NC,35.2270869,-80.8431267
GA,34.0289259,-84.1985789
UT,40.6460635,-111.497974
CT,38.383233,-121.9836109
KY,36.9903199,-86.4436017
FL,27.9484265,-82.23621535
GA,33.4504157,-82.1981763
FL,28.9713742,-82.4887545
NC,36.3956891,-80.7225669
MA,42.4365949,-71.5050008
WY,32.85223,-116.9899219
OH,39.126735,-82.9854552
CA,37.3361905,-121.8905832
CO,38.6647149,-106.8461505
ID,43.4918307,-116.4201222
KY,36.8733754,-86.3530455
TN,36.5331586,-82.3268059
WA,47.9673056,-122.2013997
MI,42.8522506,-83.4430001
TN,36.1622296,-86.774353
WA,46.5967275,-120.529656
WA,47.4234599,-120.3103493
AZ,32.2217422,-110.9264758
MA,41.6389926,-70.970317
PA,41.1695269,-75.8774189
IA,42.0341658,-91.5976772
VA,38.0652286,-78.90588756
CA,38.72338,-121.1858782
TN,35.925193,-86.8689364
WV,38.3428719,-81.8442958
CO,38.8339578,-104.8253484
IL,43.9792797,-120.7372569
WI,42.9614039,-88.0125864
NJ,40.5382375,-74.39451725
OK,36.1556805,-95.9929112
MA,42.2584245,-72.5745331
MD,38.7125305,-77.0124597
GA,33.4709714,-81.9748428
AR,34.8662005,-92.1101457
MD,39.2908816,-76.6107589
FL,28.0836269,-80.6081088
UT,40.2975185,-111.6944684
CO,39.6311085,-105.1100581
VA,36.8529841,-75.9774182
IL,41.8755546,-87.6244211
NC,36.0998131,-80.2440517
TN,36.0481521,-83.1793267
IL,38.811063,-89.9017111
NJ,40.7474966,-74.2635375
IL,39.548935,-89.2945329
NC,35.9556924,-80.0053175
GA,33.8389977,-83.9007381
FL,25.6968351,-80.163526
CA,33.9318775,-117.9461073
